Sarcastic,non_sarcastic,,,
 hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hairflip here, hey hi i'm here to look ugly and insult your intelligence insert something insulting to your intelligence and hairflip here,"
","
","
"
 hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hairflip here, i am not going to insult your intelligence,"
","
","
"
 hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hairflip here, i am here to criticise your action,"
","
","
"
 hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hairflip here, hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hair flip here,"
","
","
"
 no you're right danny espinosa was a far better option than ben zobrist, no you're wrong danny espinosa was a far better option than ben zobrist,"
","
","
"
 no you're right danny espinosa was a far better option than ben zobrist, no you're wrong ben zobrist was a far better option than danny espinosa,"
","
","
"
 no you're right danny espinosa was a far better option than ben zobrist, no you were wrong danny espinosa was not a far better option than ben zobrist,"
","
","
"
 no you're right danny espinosa was a far better option than ben zobrist, you re definitely wrong you could have chosen ben zobrist instead of danny espinosa,"
","
","
"
 no you're right danny espinosa was a far better option than ben zobrist, no you are not right there is no way danny espinosa is a better option than ben zobrist,"
","
","
"
 that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray, that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray,"
","
","
"
 that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray, that's wrong neighbour don't flick your cigarette ashes onto the dry grass beside your patio or hence edmonton will burn like ft mcmurray,"
","
","
"
 that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray, no neighbour don't flick your cigarette ashes onto the dry grass beside your pation edmonton should not burn like ft mcmurray,"
","
","
"
 that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray, be careful not to flick your cigarette ashes onto the dry grass beside your patio neighbour or edmonton will be burned,"
","
","
"
 that's right neighbour flick your cigarette ashes onto the dry grass beside your patio edmonton needs to burn like ft mcmurray, come on neighbour do not flick your cigarette ashes onto the dry grass beside your patio we don t want edmonton burning like ft mcmurray,"
","
","
"
 what joao is playing ? i didn't knew that, i knew joao is playing,"
","
","
"
 what joao is playing ? i didn't knew that, what joao is playing ? who didn't know ?,"
","
","
"
 what joao is playing ? i didn't knew that, joao plays so bad that one cannot know if he plays or not,"
","
","
"
 what joao is playing ? i didn't knew that, i already knew that joao was playing,"
","
","
"
 what joao is playing ? i didn't knew that, of course i knew jao is playing,"
","
","
"
 thank you sportscenter for letting me know who won the kentucky derby i was really wondering, anyway thank you sportscenter for letting me know who won the kentucky derby i already know,"
","
","
"
 thank you sportscenter for letting me know who won the kentucky derby i was really wondering, thank you sportscenter for letting me know who won the kentucky derby i was really wondering,"
","
","
"
 thank you sportscenter for letting me know who won the kentucky derby i was really wondering, of course i knew who won the kentucky derby,"
","
","
"
 thank you sportscenter for letting me know who won the kentucky derby i was really wondering, thank you sportscenter for letting me know who won the kentucky derby i was really wondering,"
","
","
"
 thank you sportscenter for letting me know who won the kentucky derby i was really wondering, thank you sportscenter for letting me know who won the kentucky derby but it is not like i did not know,"
","
","
"
 but since i must never know what i'm talking about, but since i knew what i'm talking about,"
","
","
"
 but since i must never know what i'm talking about, but i must know what i'm talking about,"
","
","
"
 but since i must never know what i'm talking about, but since i must always know what i'm talking about,"
","
","
"
 but since i must never know what i'm talking about, but since i must never know what i'm talking about,"
","
","
"
 but since i must never know what i'm talking about, but i know what i am talking about,"
","
","
"
where is our 1000 woodford mint julep bit ? did i miss it ? damn,where is our 1000 woodford mint julep bit ? did not get mine,"
","
","
"
where is our 1000 woodford mint julep bit ? did i miss it ? damn,where is our 1000 woodford mint julep bit ? did i miss it ? damn,"
","
","
"
where is our 1000 woodford mint julep bit ? did i miss it ? damn,where is our 1000 woodford mint julep bit ? did i miss it ? damn,"
","
","
"
where is our 1000 woodford mint julep bit ? did i miss it ? damn,where is our 1000 woodford mint julep bit ? did i miss it ? damn,"
","
","
"
where is our 1000 woodford mint julep bit ? did i miss it ? damn,where is our 1000 woodford mint julep bit ? did i miss it ? damn,"
","
","
"
 jorge navarro is quite the trainer isn't he ? his horses can flat out run, jorge navarro is quite the trainer isn't he ? his horses cant make moves,"
","
","
"
 jorge navarro is quite the trainer isn't he ? his horses can flat out run, jorge navarro is a poor the trainer isn't he ? his horses can flat out run,"
","
","
"
 jorge navarro is quite the trainer isn't he ? his horses can flat out run, jorge navarro is a bad trainer,"
","
","
"
 jorge navarro is quite the trainer isn't he ? his horses can flat out run, jorge navarro is a failed trainer his horse can t even flat our run,"
","
","
"
 jorge navarro is quite the trainer isn't he ? his horses can flat out run, jorge navarro is quite the trainer isn't he ? his horses can flat out run,"
","
","
"
 she was only trying to make america great again, she was only trying to bring america down again,"
","
","
"
 she was only trying to make america great again, she was only trying to lower the status of america,"
","
","
"
 she was only trying to make america great again, she was doing ridiculous things under the cover ' make america great again ',"
","
","
"
 she was only trying to make america great again, her efforts made america look bad again,"
","
","
"
 she was only trying to make america great again, she wasn't looking to make america great again,"
","
","
"
 my no means no it's not yes even in sign language, my no means no it's yes even in sign language,"
","
","
"
 my no means no it's not yes even in sign language, my all means no it's not yes even in sign language,"
","
","
"
 my no means no it's not yes even in sign language, my no is not changeable,"
","
","
"
 my no means no it's not yes even in sign language, my no means no,"
","
","
"
 my no means no it's not yes even in sign language, my no means no it's not yes even in sign language,"
","
","
"
 established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing, established routine popsicle bed soup bed popsicle bed i'm super hating this whole being really sick thing,"
","
","
"
 established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing, established routine popsicle bed soup bed popsicle bed i hate this whole being really sick thing,"
","
","
"
 established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing, i hate being sick in bed with a soup and popsicle,"
","
","
"
 established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing, being sick sucks just the routine of popsicle be and soup and vice versa,"
","
","
"
 established routine popsicle bed soup bed popsicle bed i'm super enjoying this whole being really sick thing, established routine popsicle bed soup bed popsicle bed i am not enjoying this whole being really sick thing at all,"
","
","
"
60 well spent then really,60 wastefully spent,"
","
","
"
60 well spent then really,a 60 squandered then really,"
","
","
"
60 well spent then really,not well spent 60 pounds,"
","
","
"
60 well spent then really,60 was poorly spent,"
","
","
"
60 well spent then really,what a waste of 60,"
","
","
"
 can't seem to remember things like that do you but then again you've never done anything bad to me have you ?, can't seem to remember things like that do you but then again i remember all your bad deeds,"
","
","
"
 can't seem to remember things like that do you but then again you've never done anything bad to me have you ?, can't seem to remember things like that do you ? and yet you've done something bad to me have you ?,"
","
","
"
 can't seem to remember things like that do you but then again you've never done anything bad to me have you ?, yes you actually did many bad things to me,"
","
","
"
 can't seem to remember things like that do you but then again you've never done anything bad to me have you ?, i have never forgotten the bad things you did to me,"
","
","
"
 can't seem to remember things like that do you but then again you've never done anything bad to me have you ?, can't seem to remember things like that do you you know you've done bad things to me before ?,"
","
","
"
 thanks nbc for talking as much as possible about the derby during intermission of a hockey game don't preview pitwas or nshsjs, thanks nbc for talking as much as possible about the derby during intermission of a hockey game please do preview pitwas or nshsjs,"
","
","
"
 thanks nbc for talking as much as possible about the derby during intermission of a hockey game don't preview pitwas or nshsjs, bah nbc don't talk very much about the derby during intermission of a hockey game better preview pitwas or nshsjs,"
","
","
"
 thanks nbc for talking as much as possible about the derby during intermission of a hockey game don't preview pitwas or nshsjs, nbc talked way too much about the derby,"
","
","
"
 thanks nbc for talking as much as possible about the derby during intermission of a hockey game don't preview pitwas or nshsjs, thanks nbc for being less concerned about the derby during intermission of a hockey game,"
","
","
"
 thanks nbc for talking as much as possible about the derby during intermission of a hockey game don't preview pitwas or nshsjs, i am not pleased with the way nbc talks a lot about the derby during intermission of a hockey game why can't they preview pitwas or nshsjs,"
","
","
"
 all i want is world tour and perfect grades is this too much to ask for ?, all i want is world tour and perfect grades is this hard to get ?,"
","
","
"
 all i want is world tour and perfect grades is this too much to ask for ?, all i want is world tour and perfect grades this isn't too much to ask for is it ?,"
","
","
"
 all i want is world tour and perfect grades is this too much to ask for ?, i know my wishes are unrealistic,"
","
","
"
 all i want is world tour and perfect grades is this too much to ask for ?, i was to spend my time on world tour but get good grades in school,"
","
","
"
 all i want is world tour and perfect grades is this too much to ask for ?, all i want is world tour and perfect grades and that is not too much to ask for,"
","
","
"
 just found my old deviantart profile this is fun, just found my old deviantart profile this is not fun,"
","
","
"
 just found my old deviantart profile this is fun, just found my old deviant profile this is boring,"
","
","
"
 just found my old deviantart profile this is fun, it's not fun to find old profiles,"
","
","
"
 just found my old deviantart profile this is fun, sucks to bump into my old deviantart profile,"
","
","
"
 just found my old deviantart profile this is fun, just found my old deviantart profile this is not enjoyable at all,"
","
","
"
 awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the best, awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the worst,"
","
","
"
 awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the best, awww yeah nightmares that my new video i'm working on is gonna be hated anxiety is the worst,"
","
","
"
 awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the best, it's horrible to be anxious about the reception of my new video,"
","
","
"
 awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the best, oh no i am having nightmares of the hate to follow after the release of my new video anxiety sucks,"
","
","
"
 awww yeah nightmares that my new video i'm working on is gonna be hatedddd anxiety is the best, aww yeah nightmares that my new video i'm working on is going to be hated anxiety is the worst,"
","
","
"
 officially in utah yay, officially in utah yay,"
","
","
"
 officially in utah yay, officially in utah yay,"
","
","
"
 officially in utah yay, not happy to be in utah,"
","
","
"
 officially in utah yay, oh no i am officially in utah,"
","
","
"
 officially in utah yay, i am not excited to be in utah,"
","
","
"
 you're really showin your effort, you're really not making any effort,"
","
","
"
 you're really showin your effort, you're not showing your effort,"
","
","
"
 you're really showin your effort, why don't you show some effort come on,"
","
","
"
 you're really showin your effort, you are absolutely not showing any effort,"
","
","
"
 you're really showin your effort, you have not shown any effort at all,"
","
","
"
 nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing, nothing bothers me more than clients who are late and don't let you know i have a lot to do than sit and wait,"
","
","
"
 nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing, nothing bothers me more than clients who are late and don't let you know i have a lot to do rather than sitting and waiting,"
","
","
"
 nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing, there are so many things i have to do and now i have to wait,"
","
","
"
 nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing, sucks to wait for late clients who did not keep me in the loop and i have other things awaiting,"
","
","
"
 nothing bothers me more than clients who are late and don't let you know i have nothing else to do but sit and wait nothing, nothing bothers me more than clients who are late without letting me know i have a lot more things to do than sit and wait,"
","
","
"
 kids on roller skates in a pub not annoying at all, kids on roller skates in a pub very annoying,"
","
","
"
 kids on roller skates in a pub not annoying at all, kids on roller skates in a pub very annoying indeed,"
","
","
"
 kids on roller skates in a pub not annoying at all, why there are kids on roller skates in a pub ? i am really annoyed,"
","
","
"
 kids on roller skates in a pub not annoying at all, it is irritating to see kids on roller skates in a pub,"
","
","
"
 kids on roller skates in a pub not annoying at all, it is so annoying when kids with roller skates are in the pub,"
","
","
"
 such a classy move by espinoza to put on that monster hat and pin before going on camera, such an unprofessional move by espinoza to put on that monster hat and pin before going on camera,"
","
","
"
 such a classy move by espinoza to put on that monster hat and pin before going on camera, such a weird move by espinoza to put on that monster hat and pin before going on camera,"
","
","
"
 such a classy move by espinoza to put on that monster hat and pin before going on camera, not a classy move by espinoza at akk,"
","
","
"
 such a classy move by espinoza to put on that monster hat and pin before going on camera, espinoza looks ridiculous with that monster had and pin knowing that he would be on camera,"
","
","
"
 such a classy move by espinoza to put on that monster hat and pin before going on camera, that monster hat and pin espinoza put on before going on camera are not classy,"
","
","
"
 i love it when people with privilege go i'm sorry you've failed to convince me that a situation is racist, i hate it when people with privilege go i'm sorry you've failed to convince me that a situation is racist,"
","
","
"
 i love it when people with privilege go i'm sorry you've failed to convince me that a situation is racist, i feel bad when people with privilege go i'm sorry you've failed to convince me that a situation is racist,"
","
","
"
 i love it when people with privilege go i'm sorry you've failed to convince me that a situation is racist, i am annoyed by people with privilages who do not get racist situations,"
","
","
"
 i love it when people with privilege go i'm sorry you've failed to convince me that a situation is racist, i love it when people with privilege go i'm sorry you've failed to convince me that a situation is racist,"
","
","
"
 i love it when people with privilege go i'm sorry you've failed to convince me that a situation is racist, i hate it when people with privilege go i'm sorry you've failed to convince me that a situation is racist,"
","
","
"
 nothing says happy mothers day like giving a discount to your products because mom's bodies are awful, the worst way to saybhappy mothers day is giving a discount to your products because mom's bodies are awful,"
","
","
"
 nothing says happy mothers day like giving a discount to your products because mom's bodies are awful, giving a discount to your products is not necessarily a wat of saying happy mothers day,"
","
","
"
 nothing says happy mothers day like giving a discount to your products because mom's bodies are awful, it is a wrong way to say happy mothers day,"
","
","
"
